region,date,sunny_days,mean_sun_hours,total_sun_hours
dalarna,1998-08-01,12,4.712580645161291,146.09
dalarna,1998-09-01,11,4.575111111111111,137.25333333333333
dalarna,1998-10-01,6,2.469247311827957,76.54666666666667
dalarna,1998-11-01,3,0.9369444444444445,28.108333333333334
dalarna,1998-12-01,0,1.1362365591397847,35.22333333333333
dalarna,1999-01-01,0,1.6217741935483871,50.275
dalarna,1999-02-01,10,3.947440476190476,110.52833333333334
dalarna,1999-03-01,4,2.225268817204301,68.98333333333333
dalarna,1999-04-01,11,4.559944444444445,136.79833333333335
dalarna,1999-05-01,20,7.908763440860215,245.17166666666668
dalarna,1999-06-01,17,7.857444444444444,235.72333333333333
dalarna,1999-07-01,22,9.889677419354838,306.58
dalarna,1999-08-01,19,8.02736559139785,248.84833333333333
dalarna,1999-09-01,12,4.498388888888888,134.95166666666665
dalarna,1999-10-01,6,2.8903763440860213,89.60166666666666
dalarna,1999-11-01,4,1.7345555555555556,52.03666666666667
dalarna,1999-12-01,0,1.6967204301075267,52.59833333333333
dalarna,2000-01-01,3,2.136720430107527,66.23833333333333
dalarna,2000-02-01,11,4.019137931034483,116.555
dalarna,2000-03-01,22,6.941021505376344,215.17166666666668
dalarna,2000-04-01,12,5.223666666666667,156.71
dalarna,2000-05-01,21,8.498763440860214,263.46166666666664
dalarna,2000-06-01,17,7.913222222222222,237.39666666666668
dalarna,2000-07-01,11,4.9363440860215055,153.02666666666667
dalarna,2000-08-01,16,6.702903225806451,207.79
dalarna,2000-09-01,20,6.883611111111111,206.50833333333333
dalarna,2000-10-01,3,1.1225268817204301,34.79833333333333
dalarna,2000-11-01,0,0.1713888888888889,5.141666666666667
dalarna,2000-12-01,0,0.9836559139784947,30.493333333333336
dalarna,2001-01-01,5,1.626290322580645,50.415
dalarna,2001-02-01,11,4.83875,135.485
dalarna,2001-03-01,16,5.630376344086021,174.54166666666666
dalarna,2001-04-01,12,5.3275,159.825
dalarna,2001-05-01,20,9.058172043010753,280.80333333333334
dalarna,2001-06-01,20,8.700722222222222,261.02166666666665
dalarna,2001-07-01,20,9.261827956989247,287.1166666666667
dalarna,2001-08-01,13,5.727741935483871,177.56
dalarna,2001-09-01,5,2.6865,80.595
dalarna,2001-10-01,8,3.0168817204301077,93.52333333333334
dalarna,2001-11-01,5,2.5889444444444445,77.66833333333334
dalarna,2001-12-01,0,1.4079032258064514,43.644999999999996
dalarna,2002-01-01,2,1.622956989247312,50.31166666666667
dalarna,2002-02-01,9,3.354345238095238,93.92166666666667
dalarna,2002-03-01,13,5.087903225806452,157.725
dalarna,2002-04-01,11,5.131333333333333,153.94
dalarna,2002-05-01,18,9.086129032258064,281.67
dalarna,2002-06-01,22,9.6475,289.425
dalarna,2002-07-01,18,6.998172043010753,216.94333333333333
dalarna,2002-08-01,27,9.813709677419356,304.225
dalarna,2002-09-01,19,7.1451111111111105,214.35333333333332
dalarna,2002-10-01,7,2.3172043010752685,71.83333333333333
dalarna,2002-11-01,5,1.4981111111111112,44.943333333333335
dalarna,2002-12-01,0,1.7688172043010753,54.833333333333336
dalarna,2003-01-01,1,1.721989247311828,53.38166666666667
dalarna,2003-02-01,11,3.662440476190476,102.54833333333333
dalarna,2003-03-01,17,5.739354838709677,177.92
dalarna,2003-04-01,18,7.908222222222222,237.24666666666667
dalarna,2003-05-01,16,6.947258064516129,215.365
dalarna,2003-06-01,17,7.070666666666667,212.12
dalarna,2003-07-01,22,8.925322580645162,276.685
dalarna,2003-08-01,17,7.438010752688172,230.57833333333332
dalarna,2003-09-01,13,5.223222222222222,156.69666666666666
dalarna,2003-10-01,11,4.39478494623656,136.23833333333334
dalarna,2003-11-01,3,1.0110555555555556,30.331666666666667
dalarna,2003-12-01,0,1.4564516129032257,45.15
dalarna,2004-01-01,2,1.0233870967741936,31.725
dalarna,2004-02-01,9,3.3731609195402297,97.82166666666666
dalarna,2004-03-01,14,4.841774193548387,150.095
dalarna,2004-04-01,15,6.4864444444444445,194.59333333333333
dalarna,2004-05-01,18,7.684032258064516,238.20499999999998
dalarna,2004-06-01,19,8.389166666666666,251.67499999999998
