Period;Grupp;Serie;Medel;Min;Max
2005 juni;Valutor mot svenska kronor;1 NOK;1,1728;1,1525;1,1925
2005 juli;Valutor mot svenska kronor;1 NOK;1,18943;1,176;1,204
2005 augusti;Valutor mot svenska kronor;1 NOK;1,18017;1,1645;1,1975
2005 september;Valutor mot svenska kronor;1 NOK;1,19655;1,188;1,2035
2005 oktober;Valutor mot svenska kronor;1 NOK;1,20236;1,178;1,2235
2005 november;Valutor mot svenska kronor;1 NOK;1,22248;1,196;1,2445
2005 december;Valutor mot svenska kronor;1 NOK;1,18352;1,171;1,1985
2006 januari;Valutor mot svenska kronor;1 NOK;1,15864;1,1355;1,181
2006 februari;Valutor mot svenska kronor;1 NOK;1,15915;1,1455;1,179
2006 mars;Valutor mot svenska kronor;1 NOK;1,17787;1,1695;1,186
2006 april;Valutor mot svenska kronor;1 NOK;1,19;1,1845;1,198
2006 maj;Valutor mot svenska kronor;1 NOK;1,19748;1,186;1,2105
2006 juni;Valutor mot svenska kronor;1 NOK;1,1765;1,1605;1,19
2006 juli;Valutor mot svenska kronor;1 NOK;1,16057;1,1475;1,1715
2006 augusti;Valutor mot svenska kronor;1 NOK;1,15228;1,137;1,1715
2006 september;Valutor mot svenska kronor;1 NOK;1,12286;1,103;1,15
2006 oktober;Valutor mot svenska kronor;1 NOK;1,10277;1,0895;1,1205
2006 november;Valutor mot svenska kronor;1 NOK;1,1042;1,094;1,1145
2006 december;Valutor mot svenska kronor;1 NOK;1,10758;1,0945;1,1175
2007 januari;Valutor mot svenska kronor;1 NOK;1,09802;1,089;1,1105
2007 februari;Valutor mot svenska kronor;1 NOK;1,13558;1,113;1,154
2007 mars;Valutor mot svenska kronor;1 NOK;1,14366;1,136;1,153
2007 april;Valutor mot svenska kronor;1 NOK;1,13842;1,124;1,1495
2007 maj;Valutor mot svenska kronor;1 NOK;1,1311;1,1235;1,144
2007 juni;Valutor mot svenska kronor;1 NOK;1,15826;1,1465;1,1685
2007 juli;Valutor mot svenska kronor;1 NOK;1,15768;1,1465;1,1645
2007 augusti;Valutor mot svenska kronor;1 NOK;1,16837;1,1545;1,181
2007 september;Valutor mot svenska kronor;1 NOK;1,18622;1,179;1,1985
2007 oktober;Valutor mot svenska kronor;1 NOK;1,19298;1,183;1,20
2007 november;Valutor mot svenska kronor;1 NOK;1,17041;1,1525;1,196
2007 december;Valutor mot svenska kronor;1 NOK;1,17521;1,1545;1,1875
2008 januari;Valutor mot svenska kronor;1 NOK;1,18575;1,1715;1,201
2008 februari;Valutor mot svenska kronor;1 NOK;1,17821;1,167;1,1895
2008 mars;Valutor mot svenska kronor;1 NOK;1,18053;1,1645;1,194
2008 april;Valutor mot svenska kronor;1 NOK;1,17693;1,162;1,19
2008 maj;Valutor mot svenska kronor;1 NOK;1,18369;1,174;1,1925
2008 juni;Valutor mot svenska kronor;1 NOK;1,17332;1,1645;1,1835
2008 juli;Valutor mot svenska kronor;1 NOK;1,17528;1,1685;1,182
2008 augusti;Valutor mot svenska kronor;1 NOK;1,17826;1,1685;1,1925
2008 september;Valutor mot svenska kronor;1 NOK;1,17377;1,152;1,1905
2008 oktober;Valutor mot svenska kronor;1 NOK;1,14596;1,0945;1,1795
2008 november;Valutor mot svenska kronor;1 NOK;1,14852;1,1335;1,162
2008 december;Valutor mot svenska kronor;1 NOK;1,14463;1,1035;1,165
2009 januari;Valutor mot svenska kronor;1 NOK;1,16322;1,116;1,1975
2009 februari;Valutor mot svenska kronor;1 NOK;1,23935;1,1855;1,299
2009 mars;Valutor mot svenska kronor;1 NOK;1,26416;1,2275;1,304
2009 april;Valutor mot svenska kronor;1 NOK;1,237;1,214;1,272
2009 maj;Valutor mot svenska kronor;1 NOK;1,20274;1,18;1,23
2009 juni;Valutor mot svenska kronor;1 NOK;1,2155;1,202;1,238
2009 juli;Valutor mot svenska kronor;1 NOK;1,20917;1,19;1,229
2009 augusti;Valutor mot svenska kronor;1 NOK;1,17957;1,1695;1,187
2009 september;Valutor mot svenska kronor;1 NOK;1,18493;1,169;1,201
2009 oktober;Valutor mot svenska kronor;1 NOK;1,23239;1,2045;1,2515
2009 november;Valutor mot svenska kronor;1 NOK;1,2279;1,218;1,24
2009 december;Valutor mot svenska kronor;1 NOK;1,23715;1,223;1,2505
2010 januari;Valutor mot svenska kronor;1 NOK;1,24532;1,2375;1,251
2010 februari;Valutor mot svenska kronor;1 NOK;1,22945;1,2085;1,2465
2010 mars;Valutor mot svenska kronor;1 NOK;1,21013;1,1975;1,2185
2010 april;Valutor mot svenska kronor;1 NOK;1,21792;1,208;1,227
2010 maj;Valutor mot svenska kronor;1 NOK;1,22495;1,208;1,2495
2010 juni;Valutor mot svenska kronor;1 NOK;1,21057;1,197;1,2225
2010 juli;Valutor mot svenska kronor;1 NOK;1,18368;1,168;1,1975
2010 augusti;Valutor mot svenska kronor;1 NOK;1,18839;1,1745;1,1995
2010 september;Valutor mot svenska kronor;1 NOK;1,16625;1,15;1,182
2010 oktober;Valutor mot svenska kronor;1 NOK;1,14395;1,1375;1,16
2010 november;Valutor mot svenska kronor;1 NOK;1,14489;1,1355;1,156
2010 december;Valutor mot svenska kronor;1 NOK;1,14538;1,1345;1,155
2011 januari;Valutor mot svenska kronor;1 NOK;1,1395;1,115;1,156
2011 februari;Valutor mot svenska kronor;1 NOK;1,12285;1,109;1,1395
2011 mars;Valutor mot svenska kronor;1 NOK;1,13498;1,1255;1,1455
2011 april;Valutor mot svenska kronor;1 NOK;1,14939;1,141;1,1585
2011 maj;Valutor mot svenska kronor;1 NOK;1,14234;1,1335;1,1505
2011 juni;Valutor mot svenska kronor;1 NOK;1,16309;1,1475;1,18437
2011 juli;Valutor mot svenska kronor;1 NOK;1,17364;1,16499;1,19083
2011 augusti;Valutor mot svenska kronor;1 NOK;1,17635;1,16524;1,18748
2011 september;Valutor mot svenska kronor;1 NOK;1,18285;1,17333;1,19823
2011 oktober;Valutor mot svenska kronor;1 NOK;1,17644;1,16672;1,1863
2011 november;Valutor mot svenska kronor;1 NOK;1,17427;1,1665;1,18264
2011 december;Valutor mot svenska kronor;1 NOK;1,16456;1,14843;1,17663
2012 januari;Valutor mot svenska kronor;1 NOK;1,15224;1,14414;1,16229
2012 februari;Valutor mot svenska kronor;1 NOK;1,16707;1,15544;1,18091
2012 mars;Valutor mot svenska kronor;1 NOK;1,18047;1,15907;1,2002
2012 april;Valutor mot svenska kronor;1 NOK;1,17077;1,16149;1,1776
2012 maj;Valutor mot svenska kronor;1 NOK;1,18794;1,17393;1,20209
2012 juni;Valutor mot svenska kronor;1 NOK;1,1767;1,16303;1,18883
2012 juli;Valutor mot svenska kronor;1 NOK;1,14747;1,12614;1,1627
2012 augusti;Valutor mot svenska kronor;1 NOK;1,13087;1,12296;1,14855
2012 september;Valutor mot svenska kronor;1 NOK;1,14921;1,14186;1,15853
2012 oktober;Valutor mot svenska kronor;1 NOK;1,1629;1,14743;1,17378
2012 november;Valutor mot svenska kronor;1 NOK;1,17279;1,1672;1,17983
2012 december;Valutor mot svenska kronor;1 NOK;1,1768;1,16571;1,18791
2013 januari;Valutor mot svenska kronor;1 NOK;1,16815;1,15847;1,17458
2013 februari;Valutor mot svenska kronor;1 NOK;1,14613;1,12922;1,16305
2013 mars;Valutor mot svenska kronor;1 NOK;1,11512;1,10605;1,12178
2013 april;Valutor mot svenska kronor;1 NOK;1,1196;1,11217;1,12745
2013 maj;Valutor mot svenska kronor;1 NOK;1,13462;1,11815;1,14448
2013 juni;Valutor mot svenska kronor;1 NOK;1,12284;1,09968;1,14004
2013 juli;Valutor mot svenska kronor;1 NOK;1,09799;1,09103;1,1041
2013 augusti;Valutor mot svenska kronor;1 NOK;1,09632;1,07196;1,11283
2013 september;Valutor mot svenska kronor;1 NOK;1,08828;1,06867;1,10809
2013 oktober;Valutor mot svenska kronor;1 NOK;1,07644;1,05961;1,08719
2013 november;Valutor mot svenska kronor;1 NOK;1,08229;1,06628;1,09484
2013 december;Valutor mot svenska kronor;1 NOK;1,06547;1,05431;1,07038
2014 januari;Valutor mot svenska kronor;1 NOK;1,05257;1,0419;1,06234
2014 februari;Valutor mot svenska kronor;1 NOK;1,06037;1,03797;1,07948
2014 mars;Valutor mot svenska kronor;1 NOK;1,06837;1,05537;1,08238
2014 april;Valutor mot svenska kronor;1 NOK;1,09397;1,07816;1,10398
2014 maj;Valutor mot svenska kronor;1 NOK;1,10652;1,09607;1,11527
2014 juni;Valutor mot svenska kronor;1 NOK;1,10791;1,09671;1,11908
2014 juli;Valutor mot svenska kronor;1 NOK;1,0997;1,08604;1,10766
2014 augusti;Valutor mot svenska kronor;1 NOK;1,11243;1,09433;1,12833
2014 september;Valutor mot svenska kronor;1 NOK;1,12362;1,11279;1,13345
2014 oktober;Valutor mot svenska kronor;1 NOK;1,10549;1,09214;1,11913
2014 november;Valutor mot svenska kronor;1 NOK;1,0881;1,06563;1,09979
2014 december;Valutor mot svenska kronor;1 NOK;1,04722;1,01052;1,06873
2015 januari;Valutor mot svenska kronor;1 NOK;1,05402;1,01707;1,07404
2015 februari;Valutor mot svenska kronor;1 NOK;1,1002;1,06667;1,11292
2015 mars;Valutor mot svenska kronor;1 NOK;1,06791;1,04109;1,09025
2015 april;Valutor mot svenska kronor;1 NOK;1,09594;1,0671;1,11529
2015 maj;Valutor mot svenska kronor;1 NOK;1,10342;1,08313;1,11969
2015 juni;Valutor mot svenska kronor;1 NOK;1,05986;1,04349;1,0925
2015 juli;Valutor mot svenska kronor;1 NOK;1,04898;1,0329;1,06035
2015 augusti;Valutor mot svenska kronor;1 NOK;1,03617;1,01011;1,06158
2015 september;Valutor mot svenska kronor;1 NOK;1,01086;0,98639;1,02159
2015 oktober;Valutor mot svenska kronor;1 NOK;1,00645;0,98622;1,02204
2015 november;Valutor mot svenska kronor;1 NOK;1,00481;0,99542;1,00927
2015 december;Valutor mot svenska kronor;1 NOK;0,97931;0,95565;1,00695
2016 januari;Valutor mot svenska kronor;1 NOK;0,96735;0,95125;0,98756
2016 februari;Valutor mot svenska kronor;1 NOK;0,98417;0,97666;0,99079
