Period;Grupp;Serie;Medel;Min;Max
2007 april;Valutor mot svenska kronor;1 DKK;1,24003;1,2265;1,2585
2007 maj;Valutor mot svenska kronor;1 DKK;1,23514;1,2265;1,2485
2007 juni;Valutor mot svenska kronor;1 DKK;1,25389;1,242;1,2675
2007 juli;Valutor mot svenska kronor;1 DKK;1,23459;1,23;1,244
2007 augusti;Valutor mot svenska kronor;1 DKK;1,25226;1,237;1,264
2007 september;Valutor mot svenska kronor;1 DKK;1,24702;1,2325;1,262
2007 oktober;Valutor mot svenska kronor;1 DKK;1,23122;1,2215;1,2365
2007 november;Valutor mot svenska kronor;1 DKK;1,24559;1,235;1,259
2007 december;Valutor mot svenska kronor;1 DKK;1,26335;1,2545;1,2705
2008 januari;Valutor mot svenska kronor;1 DKK;1,26609;1,257;1,2785
2008 februari;Valutor mot svenska kronor;1 DKK;1,25657;1,247;1,27
2008 mars;Valutor mot svenska kronor;1 DKK;1,26139;1,255;1,2715
2008 april;Valutor mot svenska kronor;1 DKK;1,25648;1,2495;1,263
2008 maj;Valutor mot svenska kronor;1 DKK;1,24876;1,2425;1,254
2008 juni;Valutor mot svenska kronor;1 DKK;1,25684;1,2495;1,2675
2008 juli;Valutor mot svenska kronor;1 DKK;1,2682;1,2595;1,276
2008 augusti;Valutor mot svenska kronor;1 DKK;1,25971;1,254;1,2705
2008 september;Valutor mot svenska kronor;1 DKK;1,2817;1,2675;1,309
2008 oktober;Valutor mot svenska kronor;1 DKK;1,32072;1,2915;1,358
2008 november;Valutor mot svenska kronor;1 DKK;1,35925;1,3215;1,4035
2008 december;Valutor mot svenska kronor;1 DKK;1,43871;1,3805;1,491
2009 januari;Valutor mot svenska kronor;1 DKK;1,44132;1,4025;1,495
2009 februari;Valutor mot svenska kronor;1 DKK;1,46285;1,409;1,538
2009 mars;Valutor mot svenska kronor;1 DKK;1,49911;1,4495;1,563
2009 april;Valutor mot svenska kronor;1 DKK;1,46102;1,4315;1,5035
2009 maj;Valutor mot svenska kronor;1 DKK;1,42079;1,3975;1,4465
2009 juni;Valutor mot svenska kronor;1 DKK;1,46076;1,4245;1,4945
2009 juli;Valutor mot svenska kronor;1 DKK;1,45561;1,3965;1,489
2009 augusti;Valutor mot svenska kronor;1 DKK;1,3726;1,3515;1,39
2009 september;Valutor mot svenska kronor;1 DKK;1,37016;1,354;1,3895
2009 oktober;Valutor mot svenska kronor;1 DKK;1,3842;1,365;1,399
2009 november;Valutor mot svenska kronor;1 DKK;1,3885;1,371;1,41
2009 december;Valutor mot svenska kronor;1 DKK;1,40098;1,386;1,4105
2010 januari;Valutor mot svenska kronor;1 DKK;1,36987;1,3595;1,38
2010 februari;Valutor mot svenska kronor;1 DKK;1,33755;1,3075;1,373
2010 mars;Valutor mot svenska kronor;1 DKK;1,30713;1,299;1,318
2010 april;Valutor mot svenska kronor;1 DKK;1,2994;1,2875;1,313
2010 maj;Valutor mot svenska kronor;1 DKK;1,3005;1,2845;1,3245
2010 juni;Valutor mot svenska kronor;1 DKK;1,28605;1,2755;1,2965
2010 juli;Valutor mot svenska kronor;1 DKK;1,27475;1,263;1,293
2010 augusti;Valutor mot svenska kronor;1 DKK;1,2652;1,257;1,277
2010 september;Valutor mot svenska kronor;1 DKK;1,23918;1,2245;1,257
2010 oktober;Valutor mot svenska kronor;1 DKK;1,2435;1,229;1,2605
2010 november;Valutor mot svenska kronor;1 DKK;1,25057;1,2325;1,263
2010 december;Valutor mot svenska kronor;1 DKK;1,21655;1,203;1,23
2011 januari;Valutor mot svenska kronor;1 DKK;1,19682;1,1855;1,2065
2011 februari;Valutor mot svenska kronor;1 DKK;1,1797;1,1695;1,1905
2011 mars;Valutor mot svenska kronor;1 DKK;1,19213;1,1685;1,209
2011 april;Valutor mot svenska kronor;1 DKK;1,20389;1,194;1,217
2011 maj;Valutor mot svenska kronor;1 DKK;1,20116;1,1915;1,2105
2011 juni;Valutor mot svenska kronor;1 DKK;1,22269;1,1915;1,23883
2011 juli;Valutor mot svenska kronor;1 DKK;1,2251;1,21427;1,24113
2011 augusti;Valutor mot svenska kronor;1 DKK;1,23151;1,20824;1,24663
2011 september;Valutor mot svenska kronor;1 DKK;1,22762;1,19695;1,24977
2011 oktober;Valutor mot svenska kronor;1 DKK;1,22464;1,21098;1,2374
2011 november;Valutor mot svenska kronor;1 DKK;1,22862;1,21407;1,24637
2011 december;Valutor mot svenska kronor;1 DKK;1,21373;1,20294;1,22816
2012 januari;Valutor mot svenska kronor;1 DKK;1,18992;1,17991;1,2002
2012 februari;Valutor mot svenska kronor;1 DKK;1,187;1,18188;1,19396
2012 mars;Valutor mot svenska kronor;1 DKK;1,19549;1,1853;1,20199
2012 april;Valutor mot svenska kronor;1 DKK;1,19137;1,18198;1,19774
2012 maj;Valutor mot svenska kronor;1 DKK;1,2103;1,19288;1,23207
2012 juni;Valutor mot svenska kronor;1 DKK;1,1945;1,17952;1,2126
2012 juli;Valutor mot svenska kronor;1 DKK;1,15042;1,1221;1,17855
2012 augusti;Valutor mot svenska kronor;1 DKK;1,11316;1,10273;1,12287
2012 september;Valutor mot svenska kronor;1 DKK;1,14088;1,12637;1,15809
2012 oktober;Valutor mot svenska kronor;1 DKK;1,15508;1,1351;1,16534
2012 november;Valutor mot svenska kronor;1 DKK;1,15435;1,14477;1,16175
2012 december;Valutor mot svenska kronor;1 DKK;1,16173;1,15436;1,17508
2013 januari;Valutor mot svenska kronor;1 DKK;1,15579;1,14208;1,16586
2013 februari;Valutor mot svenska kronor;1 DKK;1,14085;1,12955;1,15464
2013 mars;Valutor mot svenska kronor;1 DKK;1,11959;1,11144;1,13055
2013 april;Valutor mot svenska kronor;1 DKK;1,13318;1,1153;1,156
2013 maj;Valutor mot svenska kronor;1 DKK;1,15137;1,14555;1,1585
2013 juni;Valutor mot svenska kronor;1 DKK;1,164;1,14818;1,18526
2013 juli;Valutor mot svenska kronor;1 DKK;1,16123;1,14338;1,1762
2013 augusti;Valutor mot svenska kronor;1 DKK;1,16666;1,15643;1,17504
2013 september;Valutor mot svenska kronor;1 DKK;1,16324;1,14934;1,1726
2013 oktober;Valutor mot svenska kronor;1 DKK;1,17223;1,15672;1,18033
2013 november;Valutor mot svenska kronor;1 DKK;1,19126;1,17706;1,20181
2013 december;Valutor mot svenska kronor;1 DKK;1,20104;1,18541;1,21933
2014 januari;Valutor mot svenska kronor;1 DKK;1,18398;1,17542;1,198
2014 februari;Valutor mot svenska kronor;1 DKK;1,18892;1,17574;1,20588
2014 mars;Valutor mot svenska kronor;1 DKK;1,18791;1,18211;1,19869
2014 april;Valutor mot svenska kronor;1 DKK;1,20989;1,19126;1,22065
2014 maj;Valutor mot svenska kronor;1 DKK;1,21002;1,20366;1,21547
2014 juni;Valutor mot svenska kronor;1 DKK;1,21831;1,20645;1,23356
2014 juli;Valutor mot svenska kronor;1 DKK;1,23841;1,22699;1,24934
2014 augusti;Valutor mot svenska kronor;1 DKK;1,2328;1,22721;1,24163
2014 september;Valutor mot svenska kronor;1 DKK;1,23539;1,22998;1,24343
2014 oktober;Valutor mot svenska kronor;1 DKK;1,23227;1,21969;1,25595
2014 november;Valutor mot svenska kronor;1 DKK;1,24306;1,23769;1,2472
2014 december;Valutor mot svenska kronor;1 DKK;1,26183;1,24508;1,28019
2015 januari;Valutor mot svenska kronor;1 DKK;1,26683;1,24862;1,28241
2015 februari;Valutor mot svenska kronor;1 DKK;1,27353;1,25529;1,29338
2015 mars;Valutor mot svenska kronor;1 DKK;1,23893;1,21683;1,25113
2015 april;Valutor mot svenska kronor;1 DKK;1,24921;1,23952;1,25704
2015 maj;Valutor mot svenska kronor;1 DKK;1,24542;1,23756;1,2565
2015 juni;Valutor mot svenska kronor;1 DKK;1,24405;1,23117;1,25845
2015 juli;Valutor mot svenska kronor;1 DKK;1,25707;1,23645;1,27221
2015 augusti;Valutor mot svenska kronor;1 DKK;1,27576;1,26355;1,29185
2015 september;Valutor mot svenska kronor;1 DKK;1,25999;1,24996;1,27747
2015 oktober;Valutor mot svenska kronor;1 DKK;1,25305;1,24194;1,26427
2015 november;Valutor mot svenska kronor;1 DKK;1,24952;1,2391;1,26022
2015 december;Valutor mot svenska kronor;1 DKK;1,23965;1,22417;1,25036
2016 januari;Valutor mot svenska kronor;1 DKK;1,24369;1,23265;1,25403
2016 februari;Valutor mot svenska kronor;1 DKK;1,26001;1,24518;1,27572
2016 mars;Valutor mot svenska kronor;1 DKK;1,24535;1,23563;1,25514
2016 april;Valutor mot svenska kronor;1 DKK;1,23705;1,22857;1,24804
2016 maj;Valutor mot svenska kronor;1 DKK;1,24886;1,23222;1,25932
2016 juni;Valutor mot svenska kronor;1 DKK;1,25423;1,24095;1,26677
2016 juli;Valutor mot svenska kronor;1 DKK;1,27321;1,26301;1,28526
2016 augusti;Valutor mot svenska kronor;1 DKK;1,27592;1,26748;1,28927
2016 september;Valutor mot svenska kronor;1 DKK;1,28457;1,27477;1,29247
2016 oktober;Valutor mot svenska kronor;1 DKK;1,30361;1,2897;1,32705
2016 november;Valutor mot svenska kronor;1 DKK;1,32384;1,31046;1,34124
2016 december;Valutor mot svenska kronor;1 DKK;1,30685;1,28689;1,32088
2017 januari;Valutor mot svenska kronor;1 DKK;1,2795;1,27033;1,2879
2017 februari;Valutor mot svenska kronor;1 DKK;1,27379;1,26577;1,28768
2017 mars;Valutor mot svenska kronor;1 DKK;1,28185;1,27586;1,28955
2017 april;Valutor mot svenska kronor;1 DKK;1,28943;1,2791;1,29555
2017 maj;Valutor mot svenska kronor;1 DKK;1,30378;1,29392;1,31253
2017 juni;Valutor mot svenska kronor;1 DKK;1,31165;1,30089;1,316
2017 juli;Valutor mot svenska kronor;1 DKK;1,28957;1,27993;1,29969
2017 augusti;Valutor mot svenska kronor;1 DKK;1,2837;1,27471;1,29196
2017 september;Valutor mot svenska kronor;1 DKK;1,28096;1,2729;1,28725
2017 oktober;Valutor mot svenska kronor;1 DKK;1,2907;1,28023;1,30738
2017 november;Valutor mot svenska kronor;1 DKK;1,32286;1,30607;1,34541
2017 december;Valutor mot svenska kronor;1 DKK;1,33555;1,32179;1,34301
2018 januari;Valutor mot svenska kronor;1 DKK;1,31796;1,3112;1,32254
2018 februari;Valutor mot svenska kronor;1 DKK;1,33323;1,31597;1,35308
2018 mars;Valutor mot svenska kronor;1 DKK;1,36372;1,35335;1,38115
2018 april;Valutor mot svenska kronor;1 DKK;1,39262;1,37988;1,41095
2018 maj;Valutor mot svenska kronor;1 DKK;1,38997;1,37189;1,43195
2018 juni;Valutor mot svenska kronor;1 DKK;1,3793;1,35974;1,39841
2018 juli;Valutor mot svenska kronor;1 DKK;1,38341;1,37244;1,40375
2018 augusti;Valutor mot svenska kronor;1 DKK;1,4034;1,37925;1,43456
2018 september;Valutor mot svenska kronor;1 DKK;1,40039;1,38041;1,42255
2018 oktober;Valutor mot svenska kronor;1 DKK;1,39176;1,38115;1,40143
2018 november;Valutor mot svenska kronor;1 DKK;1,37998;1,37402;1,38602
2018 december;Valutor mot svenska kronor;1 DKK;1,37691;1,36607;1,38313
2019 januari;Valutor mot svenska kronor;1 DKK;1,375;1,36425;1,39059
2019 februari;Valutor mot svenska kronor;1 DKK;1,4065;1,38734;1,42038
2019 mars;Valutor mot svenska kronor;1 DKK;1,40721;1,39626;1,42377
2019 april;Valutor mot svenska kronor;1 DKK;1,40346;1,39235;1,42496
2019 maj;Valutor mot svenska kronor;1 DKK;1,43878;1,42444;1,45279
2019 juni;Valutor mot svenska kronor;1 DKK;1,4234;1,41138;1,43377
2019 juli;Valutor mot svenska kronor;1 DKK;1,41432;1,40666;1,42855
2019 augusti;Valutor mot svenska kronor;1 DKK;1,4381;1,42979;1,44952
2019 september;Valutor mot svenska kronor;1 DKK;1,43359;1,42508;1,44966
2019 oktober;Valutor mot svenska kronor;1 DKK;1,44598;1,42883;1,4601
2019 november;Valutor mot svenska kronor;1 DKK;1,42579;1,40719;1,437
2019 december;Valutor mot svenska kronor;1 DKK;1,40396;1,39678;1,41558
2020 januari;Valutor mot svenska kronor;1 DKK;1,41238;1,40055;1,42552
2020 februari;Valutor mot svenska kronor;1 DKK;1,41497;1,40446;1,42789
2020 mars;Valutor mot svenska kronor;1 DKK;1,45292;1,41177;1,50218
2020 april;Valutor mot svenska kronor;1 DKK;1,45896;1,43494;1,46908
2020 maj;Valutor mot svenska kronor;1 DKK;1,42257;1,41085;1,45188
2020 juni;Valutor mot svenska kronor;1 DKK;1,40521;1,39308;1,41616
2020 juli;Valutor mot svenska kronor;1 DKK;1,39149;1,37561;1,4108
2020 augusti;Valutor mot svenska kronor;1 DKK;1,3842;1,37802;1,39263
2020 september;Valutor mot svenska kronor;1 DKK;1,40043;1,38596;1,42665
2020 oktober;Valutor mot svenska kronor;1 DKK;1,39743;1,38585;1,41269
2020 november;Valutor mot svenska kronor;1 DKK;1,37418;1,36451;1,39458
2020 december;Valutor mot svenska kronor;1 DKK;1,36899;1,34923;1,38146
2021 januari;Valutor mot svenska kronor;1 DKK;1,35703;1,35109;1,36409
2021 februari;Valutor mot svenska kronor;1 DKK;1,35584;1,34829;1,36443
2021 mars;Valutor mot svenska kronor;1 DKK;1,36717;1,35809;1,37653
2021 april;Valutor mot svenska kronor;1 DKK;1,36612;1,35874;1,38216
2021 maj;Valutor mot svenska kronor;1 DKK;1,36396;1,3587;1,37065
2021 juni;Valutor mot svenska kronor;1 DKK;1,36024;1,3507;1,37653
2021 juli;Valutor mot svenska kronor;1 DKK;1,3713;1,36287;1,38029
2021 augusti;Valutor mot svenska kronor;1 DKK;1,37348;1,36627;1,38573
2021 september;Valutor mot svenska kronor;1 DKK;1,3679;1,36313;1,37251
2021 oktober;Valutor mot svenska kronor;1 DKK;1,35248;1,33691;1,36744
2021 november;Valutor mot svenska kronor;1 DKK;1,35069;1,32914;1,3883
2021 december;Valutor mot svenska kronor;1 DKK;1,38136;1,37446;1,39085
2022 januari;Valutor mot svenska kronor;1 DKK;1,39084;1,37441;1,41088
2022 februari;Valutor mot svenska kronor;1 DKK;1,41586;1,39868;1,43818
2022 mars;Valutor mot svenska kronor;1 DKK;1,41811;1,38995;1,45915
2022 april;Valutor mot svenska kronor;1 DKK;1,38801;1,37745;1,40549
2022 maj;Valutor mot svenska kronor;1 DKK;1,41001;1,39032;1,42819
2022 juni;Valutor mot svenska kronor;1 DKK;1,42441;1,40107;1,43856
2022 juli;Valutor mot svenska kronor;1 DKK;1,42168;1,39429;1,44909
2022 augusti;Valutor mot svenska kronor;1 DKK;1,4121;1,39204;1,43618
2022 september;Valutor mot svenska kronor;1 DKK;1,44974;1,42685;1,47346
2022 oktober;Valutor mot svenska kronor;1 DKK;1,47254;1,44963;1,48669
2022 november;Valutor mot svenska kronor;1 DKK;1,46216;1,44361;1,47717
2022 december;Valutor mot svenska kronor;1 DKK;1,47645;1,45954;1,49849
