Period;Grupp;Serie;Medel;Min;Max
2005 augusti;Valutor mot svenska kronor;1 USD;7,60022;7,455;7,715
2005 september;Valutor mot svenska kronor;1 USD;7,62148;7,405;7,82
2005 oktober;Valutor mot svenska kronor;1 USD;7,83679;7,6775;7,99
2005 november;Valutor mot svenska kronor;1 USD;8,10818;7,9575;8,2525
2005 december;Valutor mot svenska kronor;1 USD;7,95238;7,8425;8,0975
2006 januari;Valutor mot svenska kronor;1 USD;7,69512;7,5375;7,935
2006 februari;Valutor mot svenska kronor;1 USD;7,819;7,61;7,9825
2006 mars;Valutor mot svenska kronor;1 USD;7,81739;7,665;7,945
2006 april;Valutor mot svenska kronor;1 USD;7,60639;7,4125;7,8325
2006 maj;Valutor mot svenska kronor;1 USD;7,31238;7,19;7,3975
2006 juni;Valutor mot svenska kronor;1 USD;7,294;7,085;7,37
2006 juli;Valutor mot svenska kronor;1 USD;7,26024;7,1475;7,42
2006 augusti;Valutor mot svenska kronor;1 USD;7,185;7,13;7,235
2006 september;Valutor mot svenska kronor;1 USD;7,27869;7,2225;7,3575
2006 oktober;Valutor mot svenska kronor;1 USD;7,33591;7,2425;7,4075
2006 november;Valutor mot svenska kronor;1 USD;7,06955;6,88;7,2275
2006 december;Valutor mot svenska kronor;1 USD;6,8375;6,7925;6,91
2007 januari;Valutor mot svenska kronor;1 USD;6,98227;6,79;7,0775
2007 februari;Valutor mot svenska kronor;1 USD;7,02288;6,9425;7,0925
2007 mars;Valutor mot svenska kronor;1 USD;7,02239;6,95;7,1125
2007 april;Valutor mot svenska kronor;1 USD;6,83895;6,72;7,005
2007 maj;Valutor mot svenska kronor;1 USD;6,81226;6,7175;6,9225
2007 juni;Valutor mot svenska kronor;1 USD;6,96461;6,875;7,0925
2007 juli;Valutor mot svenska kronor;1 USD;6,6992;6,6375;6,8325
2007 augusti;Valutor mot svenska kronor;1 USD;6,84652;6,68;7,0225
2007 september;Valutor mot svenska kronor;1 USD;6,69;6,495;6,92
2007 oktober;Valutor mot svenska kronor;1 USD;6,45326;6,365;6,525
2007 november;Valutor mot svenska kronor;1 USD;6,32739;6,2475;6,4025
2007 december;Valutor mot svenska kronor;1 USD;6,47118;6,38;6,595
2008 januari;Valutor mot svenska kronor;1 USD;6,41727;6,3125;6,6125
2008 februari;Valutor mot svenska kronor;1 USD;6,35262;6,165;6,52
2008 mars;Valutor mot svenska kronor;1 USD;6,06329;5,9475;6,175
2008 april;Valutor mot svenska kronor;1 USD;5,94784;5,8425;6,01
2008 maj;Valutor mot svenska kronor;1 USD;5,98917;5,90;6,075
2008 juni;Valutor mot svenska kronor;1 USD;6,02579;5,90;6,0875
2008 juli;Valutor mot svenska kronor;1 USD;5,99815;5,9475;6,0625
2008 augusti;Valutor mot svenska kronor;1 USD;6,27179;6,055;6,4025
2008 september;Valutor mot svenska kronor;1 USD;6,65045;6,4625;6,8125
2008 oktober;Valutor mot svenska kronor;1 USD;7,40522;6,88;8,085
2008 november;Valutor mot svenska kronor;1 USD;7,95512;7,6875;8,305
2008 december;Valutor mot svenska kronor;1 USD;8,00382;7,635;8,38
2009 januari;Valutor mot svenska kronor;1 USD;8,10638;7,79;8,4575
2009 februari;Valutor mot svenska kronor;1 USD;8,51962;8,125;9,0525
2009 mars;Valutor mot svenska kronor;1 USD;8,56966;7,965;9,22
2009 april;Valutor mot svenska kronor;1 USD;8,25312;7,8925;8,6625
2009 maj;Valutor mot svenska kronor;1 USD;7,76079;7,4725;8,0175
2009 juni;Valutor mot svenska kronor;1 USD;7,75357;7,4775;8,0125
2009 juli;Valutor mot svenska kronor;1 USD;7,69957;7,3525;7,965
2009 augusti;Valutor mot svenska kronor;1 USD;7,16702;7,0325;7,335
2009 september;Valutor mot svenska kronor;1 USD;7,0075;6,8125;7,2725
2009 oktober;Valutor mot svenska kronor;1 USD;6,95375;6,7725;7,0625
2009 november;Valutor mot svenska kronor;1 USD;6,92631;6,80;7,0925
2009 december;Valutor mot svenska kronor;1 USD;7,12438;6,825;7,3475
2010 januari;Valutor mot svenska kronor;1 USD;7,14105;7,02;7,3325
2010 februari;Valutor mot svenska kronor;1 USD;7,27062;7,135;7,48
2010 mars;Valutor mot svenska kronor;1 USD;7,16511;7,0775;7,2575
2010 april;Valutor mot svenska kronor;1 USD;7,206;7,1375;7,3125
2010 maj;Valutor mot svenska kronor;1 USD;7,69925;7,2825;8,0075
2010 juni;Valutor mot svenska kronor;1 USD;7,83679;7,6375;8,065
2010 juli;Valutor mot svenska kronor;1 USD;7,44682;7,2325;7,8225
2010 augusti;Valutor mot svenska kronor;1 USD;7,30364;7,0875;7,4825
2010 september;Valutor mot svenska kronor;1 USD;7,07295;6,71;7,365
2010 oktober;Valutor mot svenska kronor;1 USD;6,6756;6,54;6,7775
2010 november;Valutor mot svenska kronor;1 USD;6,81591;6,5325;7,0075
2010 december;Valutor mot svenska kronor;1 USD;6,85833;6,775;6,9875
2011 januari;Valutor mot svenska kronor;1 USD;6,676;6,4675;6,9225
2011 februari;Valutor mot svenska kronor;1 USD;6,44238;6,375;6,5175
2011 mars;Valutor mot svenska kronor;1 USD;6,35054;6,26;6,45
2011 april;Valutor mot svenska kronor;1 USD;6,21487;6,005;6,345
2011 maj;Valutor mot svenska kronor;1 USD;6,23886;6,0175;6,3725
2011 juni;Valutor mot svenska kronor;1 USD;6,33933;6,1425;6,5113
2011 juli;Valutor mot svenska kronor;1 USD;6,39731;6,2525;6,6652
2011 augusti;Valutor mot svenska kronor;1 USD;6,3968;6,2714;6,5436
2011 september;Valutor mot svenska kronor;1 USD;6,64146;6,3713;6,928
2011 oktober;Valutor mot svenska kronor;1 USD;6,65654;6,3644;6,9278
2011 november;Valutor mot svenska kronor;1 USD;6,74493;6,554;6,9678
2011 december;Valutor mot svenska kronor;1 USD;6,84548;6,7169;6,9759
2012 januari;Valutor mot svenska kronor;1 USD;6,84897;6,7464;6,9992
2012 februari;Valutor mot svenska kronor;1 USD;6,6706;6,5585;6,7934
2012 mars;Valutor mot svenska kronor;1 USD;6,7298;6,6116;6,847
2012 april;Valutor mot svenska kronor;1 USD;6,72956;6,5904;6,8258
2012 maj;Valutor mot svenska kronor;1 USD;7,02877;6,723;7,2352
2012 juni;Valutor mot svenska kronor;1 USD;7,07734;6,9632;7,285
2012 juli;Valutor mot svenska kronor;1 USD;6,95512;6,8029;7,0466
2012 augusti;Valutor mot svenska kronor;1 USD;6,68672;6,5816;6,7889
2012 september;Valutor mot svenska kronor;1 USD;6,61378;6,5284;6,7539
2012 oktober;Valutor mot svenska kronor;1 USD;6,6434;6,5508;6,7242
2012 november;Valutor mot svenska kronor;1 USD;6,70988;6,6256;6,7878
2012 december;Valutor mot svenska kronor;1 USD;6,61491;6,5005;6,69
2013 januari;Valutor mot svenska kronor;1 USD;6,49036;6,36;6,5663
2013 februari;Valutor mot svenska kronor;1 USD;6,36914;6,294;6,4735
