Period;Grupp;Serie;Medel;Min;Max
2023 februari;Valutor mot svenska kronor;1 EUR;11,18074;11,0157;11,424
2023 mars;Valutor mot svenska kronor;1 EUR;11,21527;11,0699;11,394
2023 april;Valutor mot svenska kronor;1 EUR;11,33529;11,2556;11,4114
2023 maj;Valutor mot svenska kronor;1 EUR;11,37225;11,1672;11,6698
2023 juni;Valutor mot svenska kronor;1 EUR;11,66712;11,5318;11,7918
2023 juli;Valutor mot svenska kronor;1 EUR;11,63466;11,4576;11,9095
2023 augusti;Valutor mot svenska kronor;1 EUR;11,80685;11,6069;11,9368
2023 september;Valutor mot svenska kronor;1 EUR;11,84571;11,4923;11,9408
2023 oktober;Valutor mot svenska kronor;1 EUR;11,64199;11,5241;11,8241
2023 november;Valutor mot svenska kronor;1 EUR;11,554;11,3655;11,8041
2023 december;Valutor mot svenska kronor;1 EUR;11,20284;11,0382;11,3715
2024 januari;Valutor mot svenska kronor;1 EUR;11,28338;11,1545;11,3925
2024 februari;Valutor mot svenska kronor;1 EUR;11,24998;11,1545;11,3825
2024 mars;Valutor mot svenska kronor;1 EUR;11,30538;11,164;11,525
2024 april;Valutor mot svenska kronor;1 EUR;11,59096;11,4345;11,753
2024 maj;Valutor mot svenska kronor;1 EUR;11,61375;11,421;11,733
2024 juni;Valutor mot svenska kronor;1 EUR;11,28694;11,198;11,4035
2024 juli;Valutor mot svenska kronor;1 EUR;11,5324;11,3375;11,774
2024 augusti;Valutor mot svenska kronor;1 EUR;11,45566;11,335;11,5843
2024 september;Valutor mot svenska kronor;1 EUR;11,35773;11,273;11,455
2024 oktober;Valutor mot svenska kronor;1 EUR;11,40475;11,301;11,6308
2024 november;Valutor mot svenska kronor;1 EUR;11,58283;11,503;11,6665
2024 december;Valutor mot svenska kronor;1 EUR;11,50489;11,4541;11,5755
