﻿Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
Göteborg-Landvetter Flygplats;72420;SMHIs stationsnät;2.0

Parameternamn;Beskrivning;Enhet
Lufttemperatur;medel, 1 gång per månad;celsius

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1977-11-01 00:00:00;1996-01-09 23:59:59;154.0;57.6678;12.2963
2008-02-01 00:00:00;2026-05-01 14:20:59;154.0;57.6764;12.2919

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Lufttemperatur;Kvalitet;;Tidsutsnitt:
1988-12-01 00:00:01;1989-01-01 00:00:00;1988-12;1.0;Y
1989-01-01 00:00:01;1989-02-01 00:00:00;1989-01;4.0;Y
1989-02-01 00:00:01;1989-03-01 00:00:00;1989-02;3.6;Y
1989-03-01 00:00:01;1989-04-01 00:00:00;1989-03;4.2;Y
1989-04-01 00:00:01;1989-05-01 00:00:00;1989-04;5.5;Y
1989-05-01 00:00:01;1989-06-01 00:00:00;1989-05;10.8;Y
1989-06-01 00:00:01;1989-07-01 00:00:00;1989-06;14.5;Y
1989-07-01 00:00:01;1989-08-01 00:00:00;1989-07;16.8;Y
1989-08-01 00:00:01;1989-09-01 00:00:00;1989-08;13.9;Y
1989-09-01 00:00:01;1989-10-01 00:00:00;1989-09;12.0;Y
1989-10-01 00:00:01;1989-11-01 00:00:00;1989-10;8.3;Y
1989-11-01 00:00:01;1989-12-01 00:00:00;1989-11;2.9;Y
1989-12-01 00:00:01;1990-01-01 00:00:00;1989-12;0.6;Y
1990-01-01 00:00:01;1990-02-01 00:00:00;1990-01;2.9;Y
1990-02-01 00:00:01;1990-03-01 00:00:00;1990-02;4.3;Y
1990-03-01 00:00:01;1990-04-01 00:00:00;1990-03;4.5;Y
1990-04-01 00:00:01;1990-05-01 00:00:00;1990-04;6.8;Y
1990-05-01 00:00:01;1990-06-01 00:00:00;1990-05;11.6;Y
1990-06-01 00:00:01;1990-07-01 00:00:00;1990-06;14.8;Y
1990-07-01 00:00:01;1990-08-01 00:00:00;1990-07;15.4;Y
1990-08-01 00:00:01;1990-09-01 00:00:00;1990-08;15.7;Y
1990-09-01 00:00:01;1990-10-01 00:00:00;1990-09;10.4;Y
1990-10-01 00:00:01;1990-11-01 00:00:00;1990-10;7.6;Y
1990-11-01 00:00:01;1990-12-01 00:00:00;1990-11;2.3;Y
1990-12-01 00:00:01;1991-01-01 00:00:00;1990-12;0.9;Y
1991-01-01 00:00:01;1991-02-01 00:00:00;1991-01;0.1;Y
1991-02-01 00:00:01;1991-03-01 00:00:00;1991-02;-3.3;Y
1991-03-01 00:00:01;1991-04-01 00:00:00;1991-03;2.9;Y
1991-04-01 00:00:01;1991-05-01 00:00:00;1991-04;5.5;Y
1991-05-01 00:00:01;1991-06-01 00:00:00;1991-05;8.9;Y
1991-06-01 00:00:01;1991-07-01 00:00:00;1991-06;10.9;Y
1991-07-01 00:00:01;1991-08-01 00:00:00;1991-07;17.7;Y
1991-08-01 00:00:01;1991-09-01 00:00:00;1991-08;16.2;Y
1991-09-01 00:00:01;1991-10-01 00:00:00;1991-09;11.9;Y
1991-10-01 00:00:01;1991-11-01 00:00:00;1991-10;7.2;Y
1991-11-01 00:00:01;1991-12-01 00:00:00;1991-11;3.9;Y
1991-12-01 00:00:01;1992-01-01 00:00:00;1991-12;2.1;Y
1992-01-01 00:00:01;1992-02-01 00:00:00;1992-01;1.0;Y
1992-02-01 00:00:01;1992-03-01 00:00:00;1992-02;1.6;Y
1992-03-01 00:00:01;1992-04-01 00:00:00;1992-03;2.8;Y
1992-04-01 00:00:01;1992-05-01 00:00:00;1992-04;4.2;Y
1992-05-01 00:00:01;1992-06-01 00:00:00;1992-05;13.0;Y
1992-06-01 00:00:01;1992-07-01 00:00:00;1992-06;17.4;Y
1992-07-01 00:00:01;1992-08-01 00:00:00;1992-07;16.8;Y
1992-08-01 00:00:01;1992-09-01 00:00:00;1992-08;14.8;Y
1992-09-01 00:00:01;1992-10-01 00:00:00;1992-09;11.5;Y
1992-10-01 00:00:01;1992-11-01 00:00:00;1992-10;3.7;Y
1992-11-01 00:00:01;1992-12-01 00:00:00;1992-11;2.7;Y
1992-12-01 00:00:01;1993-01-01 00:00:00;1992-12;1.1;Y
1993-01-01 00:00:01;1993-02-01 00:00:00;1993-01;0.5;Y
1993-02-01 00:00:01;1993-03-01 00:00:00;1993-02;-0.6;Y
1993-03-01 00:00:01;1993-04-01 00:00:00;1993-03;1.3;Y
1993-04-01 00:00:01;1993-05-01 00:00:00;1993-04;7.2;Y
1993-05-01 00:00:01;1993-06-01 00:00:00;1993-05;13.5;Y
1993-06-01 00:00:01;1993-07-01 00:00:00;1993-06;12.9;Y
1993-07-01 00:00:01;1993-08-01 00:00:00;1993-07;13.3;Y
1993-08-01 00:00:01;1993-09-01 00:00:00;1993-08;12.7;Y
1993-09-01 00:00:01;1993-10-01 00:00:00;1993-09;9.1;Y
1993-10-01 00:00:01;1993-11-01 00:00:00;1993-10;5.7;Y
1993-11-01 00:00:01;1993-12-01 00:00:00;1993-11;0.5;Y
1993-12-01 00:00:01;1994-01-01 00:00:00;1993-12;-0.2;Y
1994-01-01 00:00:01;1994-02-01 00:00:00;1994-01;-0.1;Y
1994-02-01 00:00:01;1994-03-01 00:00:00;1994-02;-5.1;Y
1994-03-01 00:00:01;1994-04-01 00:00:00;1994-03;1.1;Y
1994-04-01 00:00:01;1994-05-01 00:00:00;1994-04;6.4;Y
1994-05-01 00:00:01;1994-06-01 00:00:00;1994-05;10.8;Y
1994-06-01 00:00:01;1994-07-01 00:00:00;1994-06;12.2;Y
1994-07-01 00:00:01;1994-08-01 00:00:00;1994-07;19.8;Y
1994-08-01 00:00:01;1994-09-01 00:00:00;1994-08;16.6;Y
1994-09-01 00:00:01;1994-10-01 00:00:00;1994-09;11.1;Y
1994-10-01 00:00:01;1994-11-01 00:00:00;1994-10;6.0;Y
1994-11-01 00:00:01;1994-12-01 00:00:00;1994-11;4.1;Y
1994-12-01 00:00:01;1995-01-01 00:00:00;1994-12;2.5;Y
1995-01-01 00:00:01;1995-02-01 00:00:00;1995-01;-2.0;Y
1995-02-01 00:00:01;1995-03-01 00:00:00;1995-02;1.7;Y
1995-03-01 00:00:01;1995-04-01 00:00:00;1995-03;1.5;Y
1995-04-01 00:00:01;1995-05-01 00:00:00;1995-04;4.9;Y
1995-05-01 00:00:01;1995-06-01 00:00:00;1995-05;9.6;Y
1995-06-01 00:00:01;1995-07-01 00:00:00;1995-06;13.9;Y
1995-07-01 00:00:01;1995-08-01 00:00:00;1995-07;16.9;Y
1995-08-01 00:00:01;1995-09-01 00:00:00;1995-08;17.7;Y
1995-09-01 00:00:01;1995-10-01 00:00:00;1995-09;11.5;Y
1995-10-01 00:00:01;1995-11-01 00:00:00;1995-10;9.9;Y
1995-11-01 00:00:01;1995-12-01 00:00:00;1995-11;0.8;Y
1995-12-01 00:00:01;1996-01-01 00:00:00;1995-12;-3.7;Y
2008-01-01 00:00:01;2008-02-01 00:00:00;2008-01;2.3;Y
2008-02-01 00:00:01;2008-03-01 00:00:00;2008-02;3.2;Y
2008-03-01 00:00:01;2008-04-01 00:00:00;2008-03;1.3;Y
2008-04-01 00:00:01;2008-05-01 00:00:00;2008-04;7.0;Y
2008-07-01 00:00:01;2008-08-01 00:00:00;2008-07;17.5;Y
2008-08-01 00:00:01;2008-09-01 00:00:00;2008-08;15.3;Y
2008-09-01 00:00:01;2008-10-01 00:00:00;2008-09;11.5;Y
2008-10-01 00:00:01;2008-11-01 00:00:00;2008-10;8.4;Y
2008-11-01 00:00:01;2008-12-01 00:00:00;2008-11;3.4;Y
2008-12-01 00:00:01;2009-01-01 00:00:00;2008-12;1.0;Y
2009-01-01 00:00:01;2009-02-01 00:00:00;2009-01;-0.8;Y
2009-02-01 00:00:01;2009-03-01 00:00:00;2009-02;-1.9;Y
2009-03-01 00:00:01;2009-04-01 00:00:00;2009-03;2.0;Y
2009-04-01 00:00:01;2009-05-01 00:00:00;2009-04;9.3;Y
2009-05-01 00:00:01;2009-06-01 00:00:00;2009-05;11.1;Y
2009-06-01 00:00:01;2009-07-01 00:00:00;2009-06;14.3;Y
2009-07-01 00:00:01;2009-08-01 00:00:00;2009-07;16.9;Y
2009-08-01 00:00:01;2009-09-01 00:00:00;2009-08;16.3;Y
2009-09-01 00:00:01;2009-10-01 00:00:00;2009-09;13.1;Y
2009-10-01 00:00:01;2009-11-01 00:00:00;2009-10;5.5;Y
2009-11-01 00:00:01;2009-12-01 00:00:00;2009-11;5.5;Y
2009-12-01 00:00:01;2010-01-01 00:00:00;2009-12;-1.8;Y
2010-01-01 00:00:01;2010-02-01 00:00:00;2010-01;-6.7;Y
2010-02-01 00:00:01;2010-03-01 00:00:00;2010-02;-4.5;Y
2010-03-01 00:00:01;2010-04-01 00:00:00;2010-03;0.8;Y
2010-04-01 00:00:01;2010-05-01 00:00:00;2010-04;5.9;Y
2010-05-01 00:00:01;2010-06-01 00:00:00;2010-05;10.0;Y
2010-06-01 00:00:01;2010-07-01 00:00:00;2010-06;13.9;Y
2010-07-01 00:00:01;2010-08-01 00:00:00;2010-07;18.2;Y
2010-08-01 00:00:01;2010-09-01 00:00:00;2010-08;15.9;Y
2010-09-01 00:00:01;2010-10-01 00:00:00;2010-09;11.5;Y
2010-10-01 00:00:01;2010-11-01 00:00:00;2010-10;6.7;Y
2010-11-01 00:00:01;2010-12-01 00:00:00;2010-11;0.3;Y
2010-12-01 00:00:01;2011-01-01 00:00:00;2010-12;-7.8;Y
2011-01-01 00:00:01;2011-02-01 00:00:00;2011-01;-2.0;Y
2011-02-01 00:00:01;2011-03-01 00:00:00;2011-02;-3.0;Y
2011-03-01 00:00:01;2011-04-01 00:00:00;2011-03;1.1;Y
2011-04-01 00:00:01;2011-05-01 00:00:00;2011-04;9.3;Y
2011-05-01 00:00:01;2011-06-01 00:00:00;2011-05;10.5;Y
2011-06-01 00:00:01;2011-07-01 00:00:00;2011-06;15.0;Y
2011-07-01 00:00:01;2011-08-01 00:00:00;2011-07;17.1;Y
2011-08-01 00:00:01;2011-09-01 00:00:00;2011-08;15.5;Y
2011-09-01 00:00:01;2011-10-01 00:00:00;2011-09;13.0;Y
2011-10-01 00:00:01;2011-11-01 00:00:00;2011-10;8.2;Y
2011-11-01 00:00:01;2011-12-01 00:00:00;2011-11;5.7;Y
2011-12-01 00:00:01;2012-01-01 00:00:00;2011-12;2.6;Y
2012-01-01 00:00:01;2012-02-01 00:00:00;2012-01;-0.9;Y
2012-02-01 00:00:01;2012-03-01 00:00:00;2012-02;-3.2;Y
2012-03-01 00:00:01;2012-04-01 00:00:00;2012-03;3.9;Y
2012-04-01 00:00:01;2012-05-01 00:00:00;2012-04;4.1;Y
2012-05-01 00:00:01;2012-06-01 00:00:00;2012-05;11.3;Y
2012-06-01 00:00:01;2012-07-01 00:00:00;2012-06;11.7;Y
2012-07-01 00:00:01;2012-08-01 00:00:00;2012-07;15.1;Y
2012-08-01 00:00:01;2012-09-01 00:00:00;2012-08;14.9;Y
2012-09-01 00:00:01;2012-10-01 00:00:00;2012-09;11.0;Y
2012-10-01 00:00:01;2012-11-01 00:00:00;2012-10;6.2;Y
2012-11-01 00:00:01;2012-12-01 00:00:00;2012-11;4.1;Y
2012-12-01 00:00:01;2013-01-01 00:00:00;2012-12;-3.9;Y
2013-01-01 00:00:01;2013-02-01 00:00:00;2013-01;-3.2;Y
2013-02-01 00:00:01;2013-03-01 00:00:00;2013-02;-3.2;Y
2013-03-01 00:00:01;2013-04-01 00:00:00;2013-03;-2.7;Y
2013-04-01 00:00:01;2013-05-01 00:00:00;2013-04;4.0;Y
2013-05-01 00:00:01;2013-06-01 00:00:00;2013-05;12.2;Y
2013-06-01 00:00:01;2013-07-01 00:00:00;2013-06;13.7;Y
2013-07-01 00:00:01;2013-08-01 00:00:00;2013-07;16.4;Y
2013-08-01 00:00:01;2013-09-01 00:00:00;2013-08;15.3;Y
2013-09-01 00:00:01;2013-10-01 00:00:00;2013-09;11.3;Y
2013-10-01 00:00:01;2013-11-01 00:00:00;2013-10;8.2;Y
2013-11-01 00:00:01;2013-12-01 00:00:00;2013-11;3.7;Y
2013-12-01 00:00:01;2014-01-01 00:00:00;2013-12;3.4;Y
2014-01-01 00:00:01;2014-02-01 00:00:00;2014-01;-1.6;Y
2014-02-01 00:00:01;2014-03-01 00:00:00;2014-02;2.1;Y
2014-03-01 00:00:01;2014-04-01 00:00:00;2014-03;4.3;Y
2014-04-01 00:00:01;2014-05-01 00:00:00;2014-04;7.7;Y
2014-05-01 00:00:01;2014-06-01 00:00:00;2014-05;11.1;Y
2014-06-01 00:00:01;2014-07-01 00:00:00;2014-06;14.1;Y
2014-07-01 00:00:01;2014-08-01 00:00:00;2014-07;18.8;Y
2014-08-01 00:00:01;2014-09-01 00:00:00;2014-08;14.5;Y
2014-09-01 00:00:01;2014-10-01 00:00:00;2014-09;12.8;Y
