﻿Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
Stockholm-Observatoriekullen A;98230;SMHIs stationsnät;2.0

Parameternamn;Beskrivning;Enhet
Lufttemperatur;medel, 1 gång per månad;celsius

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1996-11-01 00:00:00;2026-05-01 14:20:59;43.133;59.3417;18.0549

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Lufttemperatur;Kvalitet;;Tidsutsnitt:
2007-10-01 00:00:01;2007-11-01 00:00:00;2007-10;7.7;Y
2007-11-01 00:00:01;2007-12-01 00:00:00;2007-11;2.5;Y
2007-12-01 00:00:01;2008-01-01 00:00:00;2007-12;1.8;Y
2008-01-01 00:00:01;2008-02-01 00:00:00;2008-01;2.3;Y
2008-02-01 00:00:01;2008-03-01 00:00:00;2008-02;3.0;Y
2008-03-01 00:00:01;2008-04-01 00:00:00;2008-03;1.8;Y
2008-04-01 00:00:01;2008-05-01 00:00:00;2008-04;7.4;Y
2008-05-01 00:00:01;2008-06-01 00:00:00;2008-05;12.1;Y
2008-06-01 00:00:01;2008-07-01 00:00:00;2008-06;16.5;Y
2008-07-01 00:00:01;2008-08-01 00:00:00;2008-07;18.7;Y
2008-08-01 00:00:01;2008-09-01 00:00:00;2008-08;16.1;Y
2008-09-01 00:00:01;2008-10-01 00:00:00;2008-09;11.5;Y
2008-10-01 00:00:01;2008-11-01 00:00:00;2008-10;8.4;Y
2008-11-01 00:00:01;2008-12-01 00:00:00;2008-11;3.3;Y
2008-12-01 00:00:01;2009-01-01 00:00:00;2008-12;1.5;Y
2009-01-01 00:00:01;2009-02-01 00:00:00;2009-01;-1.2;Y
2009-02-01 00:00:01;2009-03-01 00:00:00;2009-02;-1.8;Y
2009-03-01 00:00:01;2009-04-01 00:00:00;2009-03;1.0;Y
2009-04-01 00:00:01;2009-05-01 00:00:00;2009-04;8.4;Y
2009-05-01 00:00:01;2009-06-01 00:00:00;2009-05;12.0;Y
2009-06-01 00:00:01;2009-07-01 00:00:00;2009-06;14.0;Y
2009-07-01 00:00:01;2009-08-01 00:00:00;2009-07;18.1;Y
2009-08-01 00:00:01;2009-09-01 00:00:00;2009-08;17.6;Y
2009-09-01 00:00:01;2009-10-01 00:00:00;2009-09;14.1;Y
2009-10-01 00:00:01;2009-11-01 00:00:00;2009-10;5.7;Y
2009-11-01 00:00:01;2009-12-01 00:00:00;2009-11;5.6;Y
2009-12-01 00:00:01;2010-01-01 00:00:00;2009-12;-1.4;Y
2010-01-01 00:00:01;2010-02-01 00:00:00;2010-01;-7.0;Y
2010-02-01 00:00:01;2010-03-01 00:00:00;2010-02;-5.2;Y
2010-03-01 00:00:01;2010-04-01 00:00:00;2010-03;-0.2;Y
2010-04-01 00:00:01;2010-05-01 00:00:00;2010-04;6.3;Y
2010-05-01 00:00:01;2010-06-01 00:00:00;2010-05;11.3;Y
2010-06-01 00:00:01;2010-07-01 00:00:00;2010-06;15.7;Y
2010-07-01 00:00:01;2010-08-01 00:00:00;2010-07;21.2;Y
2010-08-01 00:00:01;2010-09-01 00:00:00;2010-08;17.1;Y
2010-09-01 00:00:01;2010-10-01 00:00:00;2010-09;12.0;Y
2010-10-01 00:00:01;2010-11-01 00:00:00;2010-10;6.4;Y
2010-11-01 00:00:01;2010-12-01 00:00:00;2010-11;0.4;Y
2010-12-01 00:00:01;2011-01-01 00:00:00;2010-12;-6.6;Y
2011-01-01 00:00:01;2011-02-01 00:00:00;2011-01;-1.9;Y
2011-02-01 00:00:01;2011-03-01 00:00:00;2011-02;-4.3;Y
2011-03-01 00:00:01;2011-04-01 00:00:00;2011-03;1.2;Y
2011-04-01 00:00:01;2011-05-01 00:00:00;2011-04;9.1;Y
2011-05-01 00:00:01;2011-06-01 00:00:00;2011-05;11.8;Y
2011-06-01 00:00:01;2011-07-01 00:00:00;2011-06;17.3;Y
2011-07-01 00:00:01;2011-08-01 00:00:00;2011-07;19.4;Y
2011-08-01 00:00:01;2011-09-01 00:00:00;2011-08;17.3;Y
2011-09-01 00:00:01;2011-10-01 00:00:00;2011-09;14.1;Y
2011-10-01 00:00:01;2011-11-01 00:00:00;2011-10;8.5;Y
2011-11-01 00:00:01;2011-12-01 00:00:00;2011-11;6.1;Y
2011-12-01 00:00:01;2012-01-01 00:00:00;2011-12;2.5;Y
2012-01-01 00:00:01;2012-02-01 00:00:00;2012-01;-0.9;Y
2012-02-01 00:00:01;2012-03-01 00:00:00;2012-02;-2.8;Y
2012-03-01 00:00:01;2012-04-01 00:00:00;2012-03;4.4;Y
2012-04-01 00:00:01;2012-05-01 00:00:00;2012-04;4.9;Y
2012-05-01 00:00:01;2012-06-01 00:00:00;2012-05;12.2;Y
2012-06-01 00:00:01;2012-07-01 00:00:00;2012-06;13.7;Y
2012-07-01 00:00:01;2012-08-01 00:00:00;2012-07;17.7;Y
2012-08-01 00:00:01;2012-09-01 00:00:00;2012-08;16.8;Y
2012-09-01 00:00:01;2012-10-01 00:00:00;2012-09;12.3;Y
2012-10-01 00:00:01;2012-11-01 00:00:00;2012-10;6.8;Y
2012-11-01 00:00:01;2012-12-01 00:00:00;2012-11;4.6;Y
2012-12-01 00:00:01;2013-01-01 00:00:00;2012-12;-3.0;Y
2013-01-01 00:00:01;2013-02-01 00:00:00;2013-01;-3.3;Y
2013-02-01 00:00:01;2013-03-01 00:00:00;2013-02;-1.3;Y
2013-03-01 00:00:01;2013-04-01 00:00:00;2013-03;-2.3;Y
2013-04-01 00:00:01;2013-05-01 00:00:00;2013-04;4.9;Y
2013-05-01 00:00:01;2013-06-01 00:00:00;2013-05;13.1;Y
2013-06-01 00:00:01;2013-07-01 00:00:00;2013-06;16.5;Y
2013-07-01 00:00:01;2013-08-01 00:00:00;2013-07;18.4;Y
2013-08-01 00:00:01;2013-09-01 00:00:00;2013-08;17.8;Y
2013-09-01 00:00:01;2013-10-01 00:00:00;2013-09;13.0;Y
2013-10-01 00:00:01;2013-11-01 00:00:00;2013-10;8.8;Y
2013-11-01 00:00:01;2013-12-01 00:00:00;2013-11;4.4;Y
2013-12-01 00:00:01;2014-01-01 00:00:00;2013-12;3.4;Y
2014-01-01 00:00:01;2014-02-01 00:00:00;2014-01;-1.5;Y
2014-02-01 00:00:01;2014-03-01 00:00:00;2014-02;2.3;Y
2014-03-01 00:00:01;2014-04-01 00:00:00;2014-03;4.5;Y
2014-04-01 00:00:01;2014-05-01 00:00:00;2014-04;7.5;Y
2014-05-01 00:00:01;2014-06-01 00:00:00;2014-05;11.1;Y
2014-06-01 00:00:01;2014-07-01 00:00:00;2014-06;14.2;Y
2014-07-01 00:00:01;2014-08-01 00:00:00;2014-07;20.7;Y
2014-08-01 00:00:01;2014-09-01 00:00:00;2014-08;17.5;Y
2014-09-01 00:00:01;2014-10-01 00:00:00;2014-09;13.6;Y
2014-10-01 00:00:01;2014-11-01 00:00:00;2014-10;9.5;Y
2014-11-01 00:00:01;2014-12-01 00:00:00;2014-11;5.5;Y
2014-12-01 00:00:01;2015-01-01 00:00:00;2014-12;0.5;Y
2015-01-01 00:00:01;2015-02-01 00:00:00;2015-01;0.9;Y
2015-02-01 00:00:01;2015-03-01 00:00:00;2015-02;1.3;Y
2015-03-01 00:00:01;2015-04-01 00:00:00;2015-03;3.9;Y
2015-04-01 00:00:01;2015-05-01 00:00:00;2015-04;7.4;Y
2015-05-01 00:00:01;2015-06-01 00:00:00;2015-05;10.2;Y
