﻿Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
Umeå Flygplats;140480;SMHIs stationsnät;2.0

Parameternamn;Beskrivning;Enhet
Lufttemperatur;medel, 1 gång per månad;celsius

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1965-02-01 00:00:00;1981-07-06 23:59:59;7.0;63.7947;20.2918
1981-08-01 00:00:00;2026-05-01 14:20:59;7.31;63.7931;20.2800

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Lufttemperatur;Kvalitet;;Tidsutsnitt:
1969-08-01 00:00:01;1969-09-01 00:00:00;1969-08;15.9;Y
1969-09-01 00:00:01;1969-10-01 00:00:00;1969-09;8.5;Y
1969-10-01 00:00:01;1969-11-01 00:00:00;1969-10;4.4;Y
1969-11-01 00:00:01;1969-12-01 00:00:00;1969-11;-3.9;Y
1969-12-01 00:00:01;1970-01-01 00:00:00;1969-12;-6.4;Y
1970-01-01 00:00:01;1970-02-01 00:00:00;1970-01;-9.9;Y
1970-02-01 00:00:01;1970-03-01 00:00:00;1970-02;-15.5;Y
1970-03-01 00:00:01;1970-04-01 00:00:00;1970-03;-3.7;Y
1970-04-01 00:00:01;1970-05-01 00:00:00;1970-04;-0.3;Y
1970-05-01 00:00:01;1970-06-01 00:00:00;1970-05;7.2;Y
1970-06-01 00:00:01;1970-07-01 00:00:00;1970-06;15.1;Y
1970-07-01 00:00:01;1970-08-01 00:00:00;1970-07;15.5;Y
1970-08-01 00:00:01;1970-09-01 00:00:00;1970-08;14.6;Y
1970-09-01 00:00:01;1970-10-01 00:00:00;1970-09;8.4;Y
1970-10-01 00:00:01;1970-11-01 00:00:00;1970-10;3.6;Y
1970-11-01 00:00:01;1970-12-01 00:00:00;1970-11;-3.4;Y
1970-12-01 00:00:01;1971-01-01 00:00:00;1970-12;-3.2;Y
1971-01-01 00:00:01;1971-02-01 00:00:00;1971-01;-5.4;Y
1971-02-01 00:00:01;1971-03-01 00:00:00;1971-02;-7.6;Y
1971-03-01 00:00:01;1971-04-01 00:00:00;1971-03;-7.8;Y
1971-04-01 00:00:01;1971-05-01 00:00:00;1971-04;0.2;Y
1971-05-01 00:00:01;1971-06-01 00:00:00;1971-05;7.3;Y
1971-06-01 00:00:01;1971-07-01 00:00:00;1971-06;12.4;Y
1971-07-01 00:00:01;1971-08-01 00:00:00;1971-07;14.8;Y
1971-08-01 00:00:01;1971-09-01 00:00:00;1971-08;13.9;Y
1971-09-01 00:00:01;1971-10-01 00:00:00;1971-09;8.5;Y
1971-10-01 00:00:01;1971-11-01 00:00:00;1971-10;3.4;Y
1971-11-01 00:00:01;1971-12-01 00:00:00;1971-11;-5.1;Y
1971-12-01 00:00:01;1972-01-01 00:00:00;1971-12;-4.2;Y
1972-01-01 00:00:01;1972-02-01 00:00:00;1972-01;-8.4;Y
1972-02-01 00:00:01;1972-03-01 00:00:00;1972-02;-6.9;Y
1972-03-01 00:00:01;1972-04-01 00:00:00;1972-03;-3.3;Y
1972-04-01 00:00:01;1972-05-01 00:00:00;1972-04;1.1;Y
1972-05-01 00:00:01;1972-06-01 00:00:00;1972-05;6.1;Y
1972-06-01 00:00:01;1972-07-01 00:00:00;1972-06;13.5;Y
1972-07-01 00:00:01;1972-08-01 00:00:00;1972-07;18.1;Y
1972-08-01 00:00:01;1972-09-01 00:00:00;1972-08;14.2;Y
1972-09-01 00:00:01;1972-10-01 00:00:00;1972-09;8.6;Y
1972-10-01 00:00:01;1972-11-01 00:00:00;1972-10;3.9;Y
1972-11-01 00:00:01;1972-12-01 00:00:00;1972-11;-2.0;Y
1972-12-01 00:00:01;1973-01-01 00:00:00;1972-12;0.3;Y
1973-01-01 00:00:01;1973-02-01 00:00:00;1973-01;-0.8;Y
1973-02-01 00:00:01;1973-03-01 00:00:00;1973-02;-6.2;Y
